ans	Most recent answer
multibandread	Read band-interleaved data from binary file
multibandwrite	Write band-interleaved data to file
nccreate	Create variable in netCDF file
ncdisp	Display contents of netCDF data source in Command Window
ncinfo	Return information about netCDF data source
ncread	Read data from variable in netCDF data source
ncreadatt	Read attribute from netCDF data source
ncwrite	Write data to netCDF file
ncwriteatt	Write attribute to netCDF file
ncwriteschema	Add netCDF schema definitions to netCDF file
netcdf.abort	Revert recent netCDF file definitions
netcdf.close	Close netCDF file
netcdf.copyAtt	Copy attribute to new location
netcdf.create	Create new netCDF dataset
netcdf.defDim	Create netCDF dimension
netcdf.defGrp	Create group in netCDF file
netcdf.defVar	Create netCDF variable
netcdf.defVarChunking	Define chunking parameters for netCDF variable
netcdf.defVarDeflate	Define compression parameters for netCDF variable
netcdf.defVarFill	Define fill parameters for netCDF variable
netcdf.defVarFletcher32	Define checksum parameters for netCDF variable
netcdf.defVlen	Define user-defined variable length array type (NC_VLEN) (Since R2022a)
netcdf.delAtt	Delete netCDF attribute
netcdf.endDef	End netCDF file define mode
netcdf.getAtt	Return netCDF attribute
netcdf.getChunkCache	Return default chunk cache settings for netCDF library
netcdf.getConstant	Return numeric value of named constant
netcdf.getConstantNames	Return list of constants known to netCDF library
netcdf.getVar	Read data from netCDF variable
netcdf.inq	Return information about netCDF file
netcdf.inqAtt	Return information about netCDF attribute
netcdf.inqAttID	Return ID of netCDF attribute
netcdf.inqAttName	Return name of netCDF attribute
netcdf.inqDim	Return netCDF dimension name and length
netcdf.inqDimID	Return dimension ID
netcdf.inqDimIDs	Return list of dimension identifiers in group
netcdf.inqFormat	Determine format of netCDF file
netcdf.inqGrpName	Return name of group
netcdf.inqGrpNameFull	Complete pathname of group
netcdf.inqGrpParent	Return ID of parent group
netcdf.inqGrps	Return array of child group IDs
netcdf.inqLibVers	Return netCDF library version information
netcdf.inqNcid	Return ID of group
netcdf.inqUnlimDims	Return IDs of all visible unlimited dimensions in group
netcdf.inqUserType	Return information about user-defined type (Since R2022a)
netcdf.inqVar	Information about netCDF variable
netcdf.inqVarChunking	Return chunking parameters for netCDF variable
netcdf.inqVarDeflate	Return compression parameters for netCDF variable
netcdf.inqVarFill	Return fill parameters for netCDF variable
netcdf.inqVarFletcher32	Return checksum parameters for netCDF variable
netcdf.inqVarID	Return ID associated with variable name
netcdf.inqVarIDs	Return IDs of all variables in group
netcdf.inqVlen	Return information about user-defined NC_VLEN type (Since R2022a)
netcdf.open	Open netCDF data source
netcdf.putAtt	Write data to netCDF attribute
netcdf.putVar	Write data to netCDF variable
netcdf.reDef	Put open netCDF file into define mode
netcdf.renameAtt	Change name of netCDF attribute
netcdf.renameDim	Change name of netCDF dimension
netcdf.renameVar	Change name of netCDF variable
netcdf.setChunkCache	Set default chunk cache settings for netCDF library
netcdf.setDefaultFormat	Change default netCDF file format
netcdf.setFill	Set netCDF fill mode
netcdf.sync	Synchronize netCDF file to disk
open	Open file for writing video data
openDiskFile	Open FITS file
openFile	Open FITS file (extended-filename syntax)
pause	Pause playback of audioplayer object or recording of audiorecorder object
play	Play audio from audioplayer object
playblocking	Play audio from audioplayer object; hold control until playback completes
preview	Preview eight rows from file using import options
read	Read one or more video frames
readATblHdr	Read header information from current ASCII table
readBTblHdr	Read header information from current binary table
readCard	Read header record of keyword
readcell	Create cell array from file
readCol	Read rows of ASCII or binary table column
readdictionary	Create dictionary from file (Since R2024b)
readFrame	Read next video frame
readImg	Read FITS image data
readKey	Read keyword
readKeyCmplx	Read keyword as complex scalar value
readKeyDbl	Read keyword as double precision value
readKeyLongLong	Read keyword as 64-bit integer value
readKeyLongStr	Read keyword as long string value
readKeyUnit	Read physical units string from keyword
readlines	Read lines of file as string array (Since R2020b)
readmatrix	Read matrix from file
readRecord	Read header record specified by number
readstruct	Create structure array from file (Since R2020b)
readtable	Create table from file
readtimetable	Create timetable from file
readvars	Read variables from file
record	Record audio to audiorecorder object
recordblocking	Record audio to audiorecorder object; hold control until recording completes
resume	Resume playback of audioplayer object or recording of audiorecorder object from paused state
setBscale	Reset FITS image scaling
setCompressionType	Set image compression type
setHCompScale	Set scale parameter for HCOMPRESS algorithm
setHCompSmooth	Set smoothing for images compressed with HCOMPRESS
setTileDim	Set tile dimensions
setTscale	Reset image scaling
setvaropts	Set variable import options
setvartype	Set variable data types
sheetnames	Get sheet names from spreadsheet file
sound	Convert matrix of signal data to sound
soundsc	Scale data and play as sound
spreadsheetDatastore	Datastore for spreadsheet files
spreadsheetImportOptions	Import options object for Spreadsheets
stop	Stop playback of audioplayer object or recording of audiorecorder object
tabularTextDatastore	Datastore for tabular text files
textscan	Read formatted data from text file or string
Tiff	MATLAB Gateway to LibTIFF library routines
type	Display contents of file
VideoReader	Create object to read video files
VideoWriter	Create object to write video files
wordDocumentImportOptions	Import options object for Microsoft Word document files (Since R2021b)
writecell	Write cell array to file
writeChecksum	Compute and write checksum for current HDU
writeCol	Write elements into ASCII or binary table column
writeComment	Write or append COMMENT keyword to CHU
writeDate	Write DATE keyword to CHU
writedictionary	Write dictionary to file (Since R2024b)
writeHistory	Write or append HISTORY keyword to CHU
writeImg	Write to FITS image
writeKey	Update or add new keyword into current HDU
writeKeyUnit	Write physical units string
writelines	Write text to file (Since R2022a)
writematrix	Write a matrix to a file
writestruct	Write structure array to file (Since R2020b)
writetable	Write table to file
writetimetable	Write timetable to file
writeVideo	Write video data to file
xmlImportOptions	Import options object for XML files (Since R2021a)
xmlread	Read XML document and return Document Object Model node
xmlwrite	Write XML Document Object Model node
xslt	Transform XML document using XSLT engine
Workspace Variables and MAT-Files
clear	Remove items from workspace, freeing up system memory
clearvars	Clear variables from memory
disp	Display value of variable
formattedDisplayText	Capture display output as string (Since R2021a)
load	Load variables from file into workspace
matfile	Access and change variables in MAT-file without loading file into memory
openvar	Open workspace variable in Variables editor or other graphical editing tool
save	Save variables from workspace to file
who	List variables in workspace
whos	List variables in workspace, with sizes and types
workspace	Open Workspace browser to manage workspace
Low-Level File I/O
fclose	Close one or all open files
feof	Test for end of file
ferror	File I/O error information
fgetl	Read line from file, removing newline characters
fgets	Read line from file, keeping newline characters
fileread	Read contents of file as text
fopen	Open file or obtain information about open files
fprintf	Write data to text file
fread	Read data from binary file
frewind	Move file position pointer to beginning of open file
fscanf	Read data from text file
fseek	Move file position pointer to specified position in file
ftell	Current location of file position pointer in file
fwrite	Write data to binary file
openedFiles	File identifiers of all open files (Since R2024a)
Hardware and Network Communication
abort	End flight of Ryze drone (Since R2020a)
abort	End flight of Parrot drone
accellog	Return logged acceleration data from mobile device sensor
addon	Connection to add-on device for Arduino hardware
adis16505	Connect to ADIS16505 sensor on Arduino hardware SPI bus (Since R2024a)
adxl345	Connect to ADXL345, ADXL343, ADXL344, or ADXL346 sensor on Arduino hardware I2C bus (Since R2022a)
adxl345	Connect ADXL345, ADXL343, ADXL344, or ADXL346 sensor on Raspberry Pi hardware I2C bus (Since R2023a)
angvellog	Return logged angular velocity data from mobile device sensor
apds9960	Connect to APDS9960 sensor on Arduino hardware using I2C bus (Since R2021b)
arducam	Connect to ArduCam Multi Camera Adapter Module (Since R2023b)
arduino	Connection to the Arduino and Arduino-compatible ESP32 hardware
arduinolist	List available Arduino hardware (Since R2024a)
arduinosetup	Launch Arduino hardware setup interface
audiocapture	Connection between audio input device and Raspberry Pi hardware
audioplayer	Connection between audio output device and Raspberry Pi hardware
beaglebone	Connection to BeagleBone Black hardware
beagleboneblack_examples	Open featured examples for this support package
beep	Play beep from speaker on EV3 brick
ble	Connect to Bluetooth Low Energy peripheral device
blelist	Scan nearby Bluetooth Low Energy peripheral devices
bluetooth	Connect to Bluetooth Classic device (Since R2020b)
bluetoothlist	Scan nearby Bluetooth Classic devices (Since R2020b)
bmi160	Connect to BMI160 sensor on Arduino hardware I2C bus (Since R2023a)
bmi160	Connect BMI160 sensor on Raspberry Pi hardware I2C bus (Since R2023a)
bmp280	Connect to BMP280 sensor on Arduino hardware I2C bus (Since R2022b)
bmp280	Connect BMP280 sensor on Raspberry Pi hardware I2C bus (Since R2023a)
bno055	Connect to BNO055 sensor on Arduino hardware I2C bus (Since R2020a)
camera	Connection to camera on mobile device
camera	Connection to Ryze drone's camera (Since R2020a)
camera	Connection to Parrot drone FPV camera
cameraboard	Connection to camera board on Raspberry Pi hardware
canChannel	Connection to CAN channel connected to a specified device (Since R2020a)
canChannel	Connection to CAN channel through specified device (Since R2021b)
capture	Capture data from audio device connected to Raspberry Pi
characteristic	Access a characteristic on Bluetooth Low Energy peripheral device
clear	Terminate connection to BeagleBone Black hardware
clearLCD	Clear characters from LCD on EV3 brick
clearLEDMatrix	Clears the entire LED matrix and sets the all the pixels to blank ([0, 0, 0])
closePreview	Close webcam preview window
closePreview	Close IP camera preview window
closePreview	Close Ryze drone camera preview window (Since R2020a)
closePreview	Close Parrot drone FPV camera preview window
colorSensor	Connection to color sensor
configureCallback	Set callback function and trigger condition for communication with serial port device
configureCallback	Set callback function and trigger condition for communication with remote host over TCP/IP (Since R2020b)
configureCallback	Set callback function and trigger condition for communication with Bluetooth device (Since R2020b)
configureDigitalPin	Configure GPIO pin as input or output
configurePin	Set Arduino pin mode
configurePin	Configure GPIO pin as digital input, digital output, or PWM output
configurePinResource	Set resource owner and mode of pin
configureTerminator	Set terminator for ASCII string communication with serial port
configureTerminator	Set terminator for ASCII string communication with remote host over TCP/IP (Since R2020b)
configureTerminator	Set terminator for ASCII string communication with Bluetooth device (Since R2020b)
dcmotor	Connection to DC motor on Adafruit Motor Shield V2 for Arduino
dcmotor	Connection to DC Motor on Arduino MKR Motor Carrier or Nano Motor Carrier (Since R2020a)
decrementResourceCount	Decrement count of number of instances of resource
deleteFile	Delete file on target hardware
deleteFile	Delete file from hardware
deploy	Deploy MATLAB function on hardware
descriptor	Access a descriptor on Bluetooth Low Energy peripheral device
device	Connection to device on I2C bus on Arduino or ESP32 hardware
device	Connection to device on SPI bus on Arduino or ESP32 hardware
device	Connection to serial device on Arduino or ESP32 hardware
disableCAN	Disable CAN interface (Since R2021b)
discardlogs	Discard all logged data from mobile device sensors
displayImage	Display an image on the Raspberry Pi hardware or on the LED Matrix of SenseHAT
displayMessage	Scrolls a text message across the LED Matrix
echotcpip	Start or stop TCP/IP echo server
enableCAN	Enable CAN interface (Since R2021b)
enableI2C	Enable I2C interface
enablePWM	Enable PWM pin
enableSerialPort	Enable serial interface
enableSPI	Enable SPI interface
flip	Flip Ryze drone in specified direction (Since R2020a)
flip	Flip Parrot drone in specified direction
flush	Clear serial port device buffers
flush	Clear buffers for communication with remote host over TCP/IP (Since R2020b)
flush	Clear Bluetooth device buffers (Since R2020b)
flush	Flush the host buffer
flush	Flush the host buffer for BNO055 sensor
flush	Flush the host buffer (Since R2020a)
getFile	Transfer file from Raspberry Pi hardware to host computer or MATLAB Drive
getFile	Transfer file from BeagleBone Black hardware to host computer
getFreeResourceSlot	Get first free slot of resource
getI2CTerminals	Get terminals with I2C functionality
getInterruptTerminals	Get terminals with interrupt functionality
getMCU	Get microcontroller of Arduino board
getPinAlias	Get alias pin number
getPinsFromTerminals	Get pin numbers from terminal
getpinstatus	Get serial pin status
getPWMTerminals	Get terminals with PWM functionality
getResourceCount	Number of instances of a resource
getResourceOwner	Get terminal resource owner
getRunOnBoot	Get name of MATLAB function added to Run-on-boot
getServoTerminals	Get terminals that have servo functionality
getSharedResourceProperty	Get shared resource property
getSPITerminals	Get terminals that have SPI functionality
getTerminalMode	Get current terminal mode
getTerminalsFromPins	Get terminal numbers from pins
gpsdev	Connect to GPS receiver on Arduino hardware (Since R2020a)
gyroSensor	Connection to gyroscopic sensor
hts221	Connect to HTS221 sensor on Arduino hardware I2C bus (Since R2021a)
hts221	Connect HTS221 sensor on Raspberry Pi hardware I2C bus (Since R2021a)
i2cdev	Connection to device on Raspberry Pi hardware
i2cdev	Connection to device on BeagleBone Black I2C bus
icm20948	Connect to ICM-20948 sensor on Arduino hardware I2C bus (Since R2022a)
icm20948	Connect ICM-20948 sensor on Raspberry Pi hardware I2C bus (Since R2023a)
incrementResourceCount	Increment current resource count
info	Read information related to sensor
info	Read output data rate and bandwidth setting of BNO055 sensor
info	Read Update Rate, GPS Lock information and number of satellites in View for the GPS receiver (Since R2020a)
ipcam	Create ipcam object to acquire images from an IP camera
irSensor	Connection to infrared sensor
isTerminalAnalog	Check if terminal can be used as an analog pin
isTerminalDigital	Check if terminal can be used as a digital pin
land	Land Ryze drone (Since R2020a)
land	Land Parrot drone
legoev3	Connection to LEGO MINDSTORMS EV3 brick
lis3dh	Connect to LIS3DH sensor on Arduino hardware I2C bus (Since R2022b)
listArduinoLibraries	Display a list of installed Arduino libraries
lps22hb	Connect to LPS22HB sensor on Arduino hardware I2C bus (Since R2021a)
lps22hb	Connect LPS22HB sensor on Raspberry Pi hardware I2C bus (Since R2021a)
lsm303c	Connect to LSM303C sensor Arduino hardware I2C bus (Since R2021a)
lsm303c	Connect LSM303C sensor on Raspberry Pi hardware I2C bus (Since R2021a)
lsm6ds3	Connect to LSM6DS3 sensor on Arduino hardware I2C bus (Since R2021a)
lsm6ds3	Connect LSM6DS3 sensor on Raspberry Pi hardware I2C bus (Since R2023a)
lsm6ds3h	Connect to LSM6DS3H sensor on Arduino hardware I2C bus (Since R2021a)
lsm6ds3h	Connect LSM6DS3H sensor on Raspberry Pi hardware I2C bus (Since R2023a)
lsm6dsl	Connection to LSM6DSL sensor on Arduino hardware I2C bus (Since R2021a)
lsm6dsl	Connect LSM6DSL sensor on Raspberry Pi hardware I2C bus (Since R2021a)
lsm6dsm	Connect to LSM6DSM sensor on Arduino hardware I2C bus (Since R2021a)
lsm6dsm	Connect LSM6DSM sensor on Raspberry Pi hardware I2C bus (Since R2023a)
lsm6dso	Connect to LSM6DSO sensor on Arduino hardware I2C bus (Since R2021a)
lsm6dso	Connect LSM6DSO sensor on Raspberry Pi hardware I2C bus (Since R2023a)
lsm6dsr	Connect to LSM6DSR sensor on Arduino hardware I2C bus (Since R2021a)
lsm6dsr	Connect LSM6DSR sensor on Raspberry Pi hardware I2C bus (Since R2023a)
lsm9ds1	Connect to LSM9DS1 sensor on Arduino hardware I2C bus
lsm9ds1	Connect LSM9DS1 sensor on Raspberry Pi hardware I2C bus (Since R2021a)
magfieldlog	Return logged magnetic field data from mobile device sensor
matlabshared.addon.LibraryBase	Abstract class for deriving Arduino add-on libraries
matlabshared.supportpkg.checkForUpdate	(Not recommended) List of support packages that can be updated
matlabshared.supportpkg.getInstalled	List of installed support packages
mobiledev	Create mobiledev object to acquire data from mobile device sensors
mobiledevlist	List of mobile devices with accessible sensor data (Since R2020b)
motor	Connection to motor
motorCarrier	Connection to Arduino MKR Motor Carrier or Nano Motor Carrier (Since R2020b)
move	Rotate stepper motor connected to Adafruit Motor Shield
move	Move Ryze drone in all three axes (Since R2020a)
move	Move Parrot drone in all six directions
moveback	Move Ryze drone backwards (Since R2020a)
moveback	Move Parrot drone backwards
movedown	Move Ryze drone down (Since R2020a)
movedown	Move Parrot drone down
moveforward	Move Ryze drone forward (Since R2020a)
moveforward	Move Parrot drone forward
moveleft	Move Ryze drone left (Since R2020a)
moveleft	Move Parrot drone left
moveright	Move Ryze drone right (Since R2020a)
moveright	Move Parrot drone right
moveup	Move Ryze drone upwards (Since R2020a)
moveup	Move Parrot drone upwards
mpu6050	Connect to MPU-6050 sensor on Arduino hardware I2C bus
mpu6050	Connect MPU-6050 sensor on Raspberry Pi hardware I2C bus (Since R2021a)
mpu9250	Connect to MPU-9250 sensor on Arduino hardware I2C bus
mpu9250	Connect MPU-9250 sensor on Raspberry Pi hardware I2C bus (Since R2021a)
openShell	Open terminal on host computer to use Linux shell on Raspberry Pi hardware
openShell	Open terminal on host computer for Linux shell on BeagleBone Black hardware
orientlog	Return logged orientation data from mobile device sensor
parrot	Connection to Parrot drone
pidMotor	Connection to motors in closed-loop PID control on Arduino MKR Motor Carrier or Nano Motor Carrier (Since R2020a)
play	Play audio from audio device connected to Raspberry Pi
playTone	Play tone on piezo speaker using digital pin
playTone	Play tones from speaker on EV3 brick
poslog	Return logged position data from mobile device sensor
preview	Preview live video data from webcam
preview	Preview live video data from IP camera
preview	Preview live video data from Ryze drone camera (Since R2020a)
preview	Preview live video data from Parrot drone FPV camera
propertyInfo	Retrieve metadata for webcam properties (Since R2024a)
putFile	Transfer file from host computer to target hardware
putFile	Transfer file from host computer to hardware
raspi	Connection to Raspberry Pi board
raspilist	List Raspberry Pi hardware boards available for MATLAB Online connection
read	Read data from serial port
read	Read data from remote host over TCP/IP
read	Read data from Bluetooth device (Since R2020b)
read	Read characteristic or descriptor data on a Bluetooth Low Energy peripheral device
read	Read data from I2C bus
read	Read data from serial device
read	Read data from shift register
read	Read messages from CAN channel (Since R2020a)
read	Read real-time sensor data at a specified rate
read	Read acceleration, angular velocity, magnetic field, time, and overrun data from BNO055 sensor
read	Read data from GPS (Since R2020a)
read	Read data from serial device
read	Read data from I2C device
read	Read messages from CAN channel (Since R2021b)
read	Read data from serial device
read	Read data from I2C device
readAcceleration	Read one sample of acceleration from sensor
readAcceleration	Read one sample of acceleration from BNO055 sensor
readAcceleration	Read acceleration measured by the Accelerometer along x, y, and z axes
readAcceleration	Read one sample of acceleration from sensor (Since R2021a)
readAngularPosition	Read angular position of DC Motor in closed-loop control (Since R2020a)
readAngularVelocity	Read one sample of angular velocity from sensor
readAngularVelocity	Read one sample of angular velocity from BNO055 sensor
readAngularVelocity	Read angular velocity measured by the gyroscope along x, y, and z axes
readAngularVelocity	Read one sample of angular velocity from sensor (Since R2021a)
readAudio	Read collected audio data from mobile device (Since R2022b)
readBeaconButton	Read number of pressed button on infrared beacon
readBeaconProximity	Read distance and heading from infrared sensor to beacon
readButton	Read whether button on EV3 brick is being pressed
readCalibrationStatus	Read calibration status of BNO055 sensor
readColor	Reads clear light and RGB components through APDS9960 sensor (Since R2021b)
readColor	Read color of object in front of color sensor
readCount	Read current count value from encoder with X4 decoding
readCount	Read current count value from encoder connected to MKR Motor Carrier or Nano Motor Carrier (Since R2020a)
readDigitalPin	Read data from a specified pin on Arduino hardware
readDigitalPin	Read logical value from GPIO input pin
readDigitalPin	Read logical value from GPIO input pin
readDistance	Distance to object in front of ultrasonic sensor
readDistance	Read distance from ultrasonic sensor to object
readEchoTime	Read echo time of ultrasound waves
readFrame	Return oldest image frame from board, web, or ArduCam module camera
readGesture	Read gesture through APDS9960 sensor (Since R2021b)
readHeight	Read current height of Ryze drone relative to the takeoff surface (Since R2020a)
readHeight	Read current height of Parrot drone
readHumidity	Read one sample of relative humidity data from the sensor (Since R2021a)
readHumidity	Read the humidity value from the Humidity sensor
readHumidity	Read one relative humidity data sample from HTS221 sensor (Since R2021a)
readJoystick	Read the status of the joystick
readLightIntensity	Read intensity of light that reaches color sensor
readline	Read line of ASCII string data from serial port
readline	Read line of ASCII string data from remote host over TCP/IP (Since R2020b)
readline	Read line of ASCII string data from Bluetooth device (Since R2020b)
readMagneticField	Read one sample of magnetic field from sensor
readMagneticField	Read one sample of magnetic field strength from BNO055 sensor
readMagneticField	Read the magnetic field measured by the Magnetometer along the x, y and z axis
readMagneticField	Read one sample of magnetic field from sensor (Since R2021a)
readMobileSensorData	Import collected data file from mobile device via USB connection
readOrientation	Read orientation data from BNO055 sensor
readOrientation	Read current orientation of Ryze drone in terms of Euler angles (Since R2020a)
readOrientation	Read Euler angles of Parrot drone
readPosition	Read servo motor position
readPosition	Read position from servo motor connected to Adafruit Motor Shield
readPressure	Read one sample of barometric air pressure data from the sensor (Since R2021a)
readPressure	Read the pressure value from the Air Pressure sensor
readPressure	Read one absolute pressure data sample from sensor (Since R2021a)
readProximity	Read the proximity from APDS9960 sensor (Since R2021b)
readProximity	Read distance from infrared sensor to object
readRegister	Read data from I2C device register
readRegister	Read from register on I2C device
readRegister	Read from register on I2C device
readRotation	Read rotation from motor
readRotationAngle	Read rotation angle from gyroscopic sensor
readRotationRate	Read rotation rate from gyroscopic sensor
readSpeed	Read current rotational speed
readSpeed	Read current rotational speed of DC Motor in closed loop control (Since R2020a)
readSpeed	Read current rotational speed of motor from rotary encoder (Since R2020a)
readSpeed	Read current speed of Ryze drone (Since R2020a)
readSpeed	Read speed of Parrot drone
readTemperature	Read one sample of temperature from sensor (Since R2021a)
readTemperature	Read the temperature value from the Humidity sensor or the Air Pressure sensor
readTemperature	Read one sample of temperature from sensor (Since R2021a)
readTouch	Read touch sensor value
readVoltage	Read voltage from analog pin on Arduino hardware
readVoltage	Read voltage from ADC pins on sensor (Since R2023a)
readVoltage	Read voltage from analog input pin
record	Record video from camera board or ArduCam Multi Camera Adapter Module camera
release	Release stepper motor connected to Adafruit Motor Shield
release	Release the sensor object
release	Release the BNO055 object
release	Release the GPS object (Since R2020a)
reset	Clear all outputs of shift register
resetCount	Set count value to zero or user-specified value
resetCount	Set encoder count value to zero or specified value (Since R2020a)
resetRotation	Reset rotation count to zero
resetRotationAngle	Reset rotation angle to zero
rotaryEncoder	Connection to quadrature encoder on Arduino or ESP32 hardware
rotaryEncoder	Connection to rotary encoder on Arduino MKR Motor Carrier or Nano Motor Carrier (Since R2020a)
ryze	Connection to Ryze drone (Since R2020a)
ryzelist	List of Ryze drones connected to your system (Since R2021b)
ryzesetup	Launch Hardware Setup for multi-drone workflow (Since R2021b)
scanI2CBus	Scan I2C bus on Arduino hardware for device address
scanI2CBus	Scan I2C bus device addresses
scanI2CBus	Scan I2C bus device addresses
selectCamera	Select camera on ArduCam Multi Camera Module (Since R2023b)
sendCommand	Send message to Arduino device from MATLAB
sensehat	Create a Sense HAT object passing raspi object
serialbreak	Send break to device connected to serial port
serialdev	Connection to serial device on Raspberry Pi hardware
serialdev	Connection to serial device on BeagleBone Black hardware
serialport	Connection to serial port
serialportfind	Find serial port connections (Since R2024a)
serialportlist	List of serial ports connected to your system
servo	Connection to servo motor on Arduino or ESP32 hardware
servo	Connection to servo motor on Adafruit Motor Shield V2 for Arduino
servo	Connection to servo motor on Arduino MKR Motor Carrier or Nano Motor Carrier (Since R2020a)
servo	Create connection to servo motor
setDTR	Set serial DTR pin
setRTS	Set serial RTS pin
setSharedResourceProperty	Set shared resource property
shiftRegister	Connection to shift register on Arduino hardware
showAllPins	Show diagram of all pins
showLEDs	Show location, name, and color of user-controllable LEDs
showLEDs	Show location, name, and color of user-controllable LEDs
showPins	Show diagram of GPIO pins
showPins	Show diagram of GPIO pins
snapshot	Capture latest RGB image frame from Camera Board or selected camera on ArduCam Multi Camera Adapter Module
snapshot	Capture RGB image from web camera
snapshot	Acquire single image frame from a webcam
snapshot	Acquire single image frame from an IP camera
snapshot	Acquire single image frame from mobile device camera
snapshot	Acquire single image frame from Ryze drone camera (Since R2020a)
snapshot	Acquire single image frame from Parrot drone FPV camera
sonicSensor	Connection to ultrasonic sensor
spidev	Connection to SPI device on Raspberry Pi hardware
spidev	Connection to SPI device on BeagleBone Black hardware
start	Start DC motor connected to Adafruit Motor Shield
start	Start DC motor connected to MKR Motor Carrier or Nano Motor Carrier (Since R2020a)
start	Start motor
stepper	Connection to stepper motor on Adafruit Motor Shield V2 for Arduino
stop	Stop DC motor connected to Adafruit Motor Shield
stop	Stop DC motor connected to MKR Motor Carrier or Nano Motor Carrier (Since R2020a)
stop	Stop data collection from sensor object (Since R2020a)
stop	Stop data collection from GPS module (Since R2020a)
stop	Stop recording from camera board or selected camera on ArduCam Multi Camera Adapter Module
stop	Stop motor
subscribe	Subscribe to characteristic notification or indication
system	Run command in Linux shell on Raspberry Pi hardware
system	Run command in Linux shell on BeagleBone Black hardware
takeoff	Initiate Ryze drone takeoff (Since R2020a)
takeoff	Initiate Parrot drone takeoff
targetHardware	Create configuration object for hardware
tcpclient	Create TCP/IP client connection with TCP/IP server
tcpclientfind	Find TCP/IP client connections (Since R2024a)
touchSensor	Connection to touch sensor
turn	Turn Ryze drone by a specified angle (Since R2020a)
turn	Turn Parrot drone at specified angle
ultrasonic	Connection to ultrasonic sensor on Arduino hardware
unsubscribe	Unsubscribe from characteristic notification and indication
validatePin	Validate that pin supports specific functionality
webcam	Create connection to Raspberry Pi web camera
webcam	Connection to web camera on BeagleBone Black hardware
webcam	Connection to a webcam
webcamlist	List of webcams connected to your system
write	Write data to serial port
write	Write data to remote host over TCP/IP
write	Write data to Bluetooth device (Since R2020b)
write	Write data to a characteristic or descriptor on a Bluetooth Low Energy peripheral device
write	Write data to I2C bus
write	Write data to serial device
write	Write data to shift register
write	Write messages to CAN bus (Since R2020a)
write	Write data to serial device
write	Write data to I2C device
write	Write messages to CAN channel (Since R2021b)
write	Write data to serial device
write	Write data to I2C device
writeAngularPosition	Rotate DC motor by specified angle in closed loop position control (Since R2020a)
writeBytes	Write raw data to GPS module (Since R2020a)
writeDigitalPin	Write data to a specified pin on Arduino hardware
writeDigitalPin	Write logical value to GPIO output pin
writeDigitalPin	Write logical value to GPIO output pin
writeLCD	Write characters to LCD on EV3 brick
writeLED	Turn LED on or off
writeLED	Turn LED on or off
writeline	Write line of ASCII data to serial port
writeline	Write line of ASCII data to remote host over TCP/IP (Since R2020b)
writeline	Write line of ASCII data to Bluetooth device (Since R2020b)
writePixel	Write the specified color to an individual pixel at the specified row and column of LED Matrix
writePosition	Write position of servo motor
writePosition	Write position to servo motor connected to Adafruit Motor Shield
writePosition	Write position of servo motor connected to MKR Motor Carrier or Nano Motor Carrier (Since R2020a)
writePosition	Write position of servo motor
writePWMDutyCycle	Generate PWM signal with specified duty cycle on digital pin
writePWMDutyCycle	Writes PWM duty cycle to PWM pin
writePWMDutyCycle	Writes PWM duty cycle to PWM pin
writePWMFrequency	Writes PWM frequency to a GPIO pin
writePWMFrequency	Writes PWM frequency to PWM pin
writePWMVoltage	Generate PWM signal with specified voltage on digital pin
writePWMVoltage	Writes average PWM voltage to a GPIO pin
writePWMVoltage	Writes average PWM voltage to PWM pin
writeRead	Write and read data from SPI device
writeRead	Write data to and read data from SPI device
writeRead	Write data to and read data from SPI device
writeRegister	Write data to I2C device register
writeRegister	Write to register on I2C device
writeRegister	Write to register on I2C device
writeSpeed	Write speed of PID motor (Since R2020a)
writeStatusLight	Control color and mode of status light on EV3 brick
Web Access and Streaming
ascii	Set FTP transfer mode to ASCII
binary	Set FTP transfer mode to binary
cd	Change or view current folder on SFTP or FTP server
close	Close connection to SFTP or FTP server
delete	Delete file on SFTP or FTP server
dir	List folder contents on SFTP or FTP server
ftp	Connection to FTP server to access its files
mget	Download files from SFTP or FTP server
mkdir	Make new folder on SFTP or FTP server
mput	Upload file or folder to SFTP or FTP server
rename	Rename file on SFTP or FTP server
rmdir	Remove folder on SFTP or FTP server
sendmail	Send email message to address list
sftp	Connection to SFTP server to access its files (Since R2021b)
thingSpeakRead	Read data stored in ThingSpeak channel
thingSpeakWrite	Write data to ThingSpeak channel
web	Open web page or file in browser
weboptions	Specify parameters for RESTful web service
webread	Read content from RESTful web service
websave	Save content from RESTful web service to file
webwrite	Write data to RESTful web service
Large Files and Big Data
Datastore
arrayDatastore	Datastore for in-memory data (Since R2020b)
combine	Combine data from multiple datastores
CombinedDatastore	Datastore to combine data read from multiple underlying datastores
datastore	Create datastore for large collections of data
fileDatastore	Datastore with custom file reader
hasdata	Determine if data is available to read
imageDatastore	Datastore for image data
isPartitionable	Determine whether datastore is partitionable (Since R2020a)
isShuffleable	Determine whether datastore is shuffleable (Since R2020a)
isSubsettable	Determine whether datastore is subsettable (Since R2022b)
KeyValueDatastore	Datastore for key-value pair data for use with mapreduce
matlab.io.Datastore	Base datastore class
matlab.io.datastore.BlockedFileSet	Blocked file-set for collection of blocks within file (Since R2020a)
matlab.io.datastore.DsFileReader	File-reader object for files in a datastore
matlab.io.datastore.DsFileSet	File-set object for collection of files in datastore
